id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result
1,2016,2016-03-25,Kolkata Knight Riders,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Kolkata Knight Riders,field,Kolkata Knight Riders,0,1,Washington Stokes,normal
2,2016,2016-03-26,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Delhi Capitals,42,0,Sanju Kumar,normal
3,2016,2016-03-27,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Punjab Kings,field,Chennai Super Kings,6,0,Mitchell Paine,normal
4,2016,2016-03-28,Royal Challengers Bangalore,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,field,Kolkata Knight Riders,0,10,Sanju Pooran,normal
5,2016,2016-03-29,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,25,0,Shubman de Kock,normal
6,2016,2016-03-30,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Delhi Capitals,field,Punjab Kings,6,0,David Curran,normal
7,2016,2016-03-31,Punjab Kings,Royal Challengers Bangalore,"M. A. Chidambaram Stadium, Chennai",Chennai,Punjab Kings,field,Royal Challengers Bangalore,30,0,Mohammed Rahane,normal
8,2016,2016-04-01,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Sunrisers Hyderabad,23,0,Tim Russell,normal
9,2016,2016-04-02,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,bat,Chennai Super Kings,0,6,Kuldeep Sundar,normal
10,2016,2016-04-03,Rajasthan Royals,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,bat,Mumbai Indians,0,4,KL Yadav,normal
11,2016,2016-04-04,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,36,0,Mohammed Rahane,normal
12,2016,2016-04-05,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,bat,Chennai Super Kings,0,7,Tim Sharma,normal
13,2016,2016-04-06,Kolkata Knight Riders,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,field,Delhi Capitals,0,5,Liam Green,normal
14,2016,2016-04-07,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Rajasthan Royals,60,0,Ben Bumrah,normal
15,2016,2016-04-08,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Mumbai Indians,0,2,Trent Sundar,normal
16,2016,2016-04-09,Sunrisers Hyderabad,Chennai Super Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,0,3,Prithvi Chahal,normal
